Time (s),Speed (m/s)
9.56,12.6
9.58,12.6
9.6,12.6
9.620000000000001,12.6
9.64,12.6
9.66,12.6
9.68,12.6
9.700000000000001,12.6
9.72,12.6
9.74,12.6
9.76,12.6
9.78,12.6
9.8,12.6
9.82,12.6
9.84,12.6
9.86,12.6
9.88,12.6
9.9,12.6
9.92,12.6
9.94,12.6
9.96,12.6
9.98,12.6
10.0,12.6
10.02,12.6
10.040000000000001,12.549397590361446
10.06,12.498795180722892
10.08,12.448192771084337
10.1,12.397590361445783
10.120000000000001,12.346987951807229
10.14,12.296385542168675
10.16,12.24578313253012
10.18,12.195180722891566
10.200000000000001,12.144578313253012
10.22,12.093975903614458
10.24,12.043373493975903
10.26,11.992771084337349
10.28,11.942168674698795
10.3,11.891566265060241
10.32,11.840963855421686
10.34,11.790361445783132
10.36,11.739759036144578
10.38,11.689156626506024
10.4,11.638554216867469
10.42,11.587951807228915
10.44,11.537349397590361
10.46,11.486746987951808
10.48,11.436144578313252
10.5,11.385542168674698
10.52,11.334939759036144
10.540000000000001,11.28433734939759
10.56,11.233734939759035
10.58,11.183132530120481
10.6,11.132530120481928
10.620000000000001,11.081927710843374
10.64,11.031325301204818
10.66,10.980722891566264
10.68,10.93012048192771
10.700000000000001,10.879518072289157
10.72,10.828915662650601
10.74,10.778313253012048
10.76,10.727710843373494
10.78,10.67710843373494
10.8,10.626506024096384
10.82,10.57590361445783
10.84,10.525301204819277
10.86,10.474698795180723
10.88,10.424096385542168
10.9,10.373493975903614
10.92,10.32289156626506
10.94,10.272289156626506
10.96,10.221686746987952
10.98,10.171084337349397
11.0,10.120481927710843
11.02,10.06987951807229
11.040000000000001,10.019277108433734
11.06,9.96867469879518
11.08,9.918072289156626
11.1,9.867469879518072
11.120000000000001,9.816867469879519
11.14,9.766265060240963
11.16,9.71566265060241
11.18,9.665060240963856
11.200000000000001,9.6144578313253
11.22,9.563855421686746
11.24,9.513253012048192
11.26,9.462650602409639
11.28,9.412048192771085
11.3,9.36144578313253
11.32,9.310843373493976
11.34,9.260240963855422
11.36,9.209638554216866
11.38,9.159036144578312
11.4,9.108433734939759
11.42,9.057831325301205
11.44,9.007228915662651
11.46,8.956626506024095
11.48,8.906024096385542
11.5,8.855421686746988
11.52,8.804819277108432
11.540000000000001,8.754216867469879
11.56,8.703614457831325
11.58,8.653012048192771
11.6,8.602409638554217
11.620000000000001,8.551807228915663
11.64,8.501204819277108
11.66,8.450602409638554
11.68,8.399999999999999
11.700000000000001,8.349397590361445
11.72,8.298795180722891
11.74,8.248192771084337
11.76,8.197590361445783
11.78,8.14698795180723
11.8,8.096385542168674
11.82,8.04578313253012
11.84,7.995180722891566
11.86,7.944578313253012
11.88,7.893975903614457
11.9,7.843373493975903
11.92,7.792771084337349
11.94,7.742168674698795
11.96,7.69156626506024
11.98,7.6409638554216865
12.0,7.590361445783132
12.02,7.539759036144578
12.040000000000001,7.489156626506023
12.06,7.43855421686747
12.08,7.387951807228915
12.1,7.337349397590361
12.120000000000001,7.2867469879518065
12.14,7.236144578313253
12.16,7.185542168674698
12.18,7.134939759036144
12.200000000000001,7.08433734939759
12.22,7.033734939759036
12.24,6.983132530120481
12.26,6.932530120481927
12.280000000000001,6.881927710843373
12.3,6.831325301204819
12.32,6.780722891566264
12.34,6.7301204819277105
12.36,6.679518072289156
12.38,6.628915662650602
12.4,6.578313253012047
12.42,6.527710843373494
12.44,6.477108433734939
12.46,6.426506024096385
12.48,6.3759036144578305
12.5,6.325301204819277
12.52,6.274698795180722
12.540000000000001,6.224096385542168
12.56,6.173493975903614
12.58,6.12289156626506
12.6,6.072289156626506
12.620000000000001,6.021686746987951
12.64,5.971084337349398
12.66,5.920481927710843
12.68,5.869879518072289
12.700000000000001,5.8192771084337345
12.72,5.768674698795181
12.74,5.718072289156626
12.76,5.667469879518072
12.780000000000001,5.616867469879518
12.8,5.566265060240964
12.82,5.515662650602409
12.84,5.465060240963855
12.86,5.414457831325301
12.88,5.363855421686747
12.9,5.313253012048192
12.92,5.2626506024096384
12.94,5.212048192771084
12.96,5.16144578313253
12.98,5.110843373493975
13.0,5.0602409638554215
13.02,5.009638554216867
13.040000000000001,4.959036144578313
13.06,4.908433734939758
13.08,4.857831325301205
13.1,4.80722891566265
13.120000000000001,4.756626506024096
13.14,4.7060240963855415
13.16,4.655421686746988
13.18,4.604819277108433
13.200000000000001,4.554216867469879
13.22,4.5036144578313255
13.24,4.45301204819277
13.26,4.402409638554216
13.280000000000001,4.351807228915662
13.3,4.301204819277109
13.32,4.250602409638553
13.34,4.199999999999999
13.36,4.1493975903614455
13.38,4.098795180722892
13.4,4.048192771084336
13.42,3.9975903614457824
13.44,3.9469879518072286
13.46,3.896385542168675
13.48,3.8457831325301193
13.5,3.7951807228915655
13.52,3.7445783132530117
13.540000000000001,3.693975903614458
13.56,3.6433734939759024
13.58,3.5927710843373486
13.6,3.542168674698795
13.620000000000001,3.491566265060241
13.64,3.4409638554216855
13.66,3.3903614457831317
13.68,3.339759036144578
13.700000000000001,3.289156626506024
13.72,3.2385542168674686
13.74,3.187951807228915
13.76,3.137349397590361
13.780000000000001,3.0867469879518072
13.8,3.0361445783132517
13.82,2.985542168674698
13.84,2.934939759036144
13.86,2.8843373493975903
13.88,2.8337349397590366
13.9,2.783132530120481
13.92,2.7325301204819272
13.94,2.6819277108433734
13.96,2.6313253012048197
13.98,2.580722891566264
14.0,2.5301204819277103
14.02,2.4795180722891565
14.040000000000001,2.4289156626506028
14.06,2.378313253012047
14.08,2.3277108433734934
14.1,2.2771084337349397
14.120000000000001,2.226506024096386
14.14,2.1759036144578303
14.16,2.1253012048192765
14.18,2.0746987951807228
14.200000000000001,2.024096385542169
14.22,1.9734939759036134
14.24,1.9228915662650596
14.26,1.8722891566265059
14.280000000000001,1.821686746987952
14.3,1.7710843373493965
14.32,1.7204819277108427
14.34,1.669879518072289
14.36,1.6192771084337352
14.38,1.5686746987951796
14.4,1.5180722891566258
14.42,1.467469879518072
14.44,1.4168674698795183
14.46,1.3662650602409627
14.48,1.315662650602409
14.5,1.2650602409638552
14.52,1.2144578313253014
14.540000000000001,1.1638554216867458
14.56,1.113253012048192
14.58,1.0626506024096383
14.6,1.0120481927710845
14.620000000000001,0.9614457831325289
14.64,0.9108433734939752
14.66,0.8602409638554214
14.68,0.8096385542168676
14.700000000000001,0.759036144578312
14.72,0.7084337349397583
14.74,0.6578313253012045
14.76,0.6072289156626507
14.780000000000001,0.5566265060240951
14.8,0.5060240963855414
14.82,0.4554216867469876
14.84,0.4048192771084338
14.86,0.35421686746987824
14.88,0.30361445783132446
14.9,0.2530120481927707
14.92,0.2024096385542169
14.94,0.15180722891566134
14.96,0.10120481927710756
14.98,0.05060240963855378
15.0,0.0
15.02,0.0
15.040000000000001,0.0
15.06,0.0
15.08,0.0
15.1,0.0
15.120000000000001,0.0
15.14,0.0
15.16,0.0
15.18,0.0
15.200000000000001,0.0
15.22,0.0
15.24,0.0
15.26,0.0
15.280000000000001,0.0
15.3,0.0
15.32,0.0
15.34,0.0
15.36,0.0
15.38,0.0
15.4,0.0
15.42,0.0
15.44,0.0
15.46,0.0
15.48,0.0
15.5,0.0
15.52,0.0
15.540000000000001,0.0
15.56,0.0
15.58,0.0
15.6,0.0
15.620000000000001,0.0
15.64,0.0
15.66,0.0
15.68,0.0
15.700000000000001,0.0
15.72,0.0
15.74,0.0
15.76,0.0
15.780000000000001,0.0
15.8,0.0
15.82,0.0
15.84,0.0
15.860000000000001,0.0
15.88,0.0
15.9,0.0
15.92,0.0
15.94,0.0
15.96,0.0
15.98,0.0
16.0,0.0
16.02,0.0
16.04,0.0
16.06,0.0
16.080000000000002,0.0
16.1,0.0
16.12,0.0
16.14,0.0
16.16,0.0
16.18,0.0
16.2,0.0
16.22,0.0
16.240000000000002,0.0
16.26,0.0
16.28,0.0
16.3,0.0
16.32,0.0
16.34,0.0
16.36,0.0
16.38,0.0
16.4,0.0
16.42,0.0
16.44,0.0
16.46,0.0
16.48,0.0
16.5,0.0
16.52,0.0
16.54,0.0
16.56,0.0
16.580000000000002,0.0
16.6,0.0
16.62,0.0
16.64,0.0
16.66,0.0
16.68,0.0
16.7,0.0
16.72,0.0
16.740000000000002,0.0
16.76,0.0
16.78,0.0
16.8,0.0
16.82,0.0
16.84,0.0
16.86,0.0
16.88,0.0
16.9,0.0
16.92,0.0
16.94,0.0
16.96,0.0
16.98,0.0
17.0,0.0
17.02,0.0
17.04,0.0
17.06,0.0
17.080000000000002,0.0
17.1,0.0
17.12,0.0
17.14,0.0
17.16,0.0
17.18,0.0
17.2,0.0
17.22,0.0
17.240000000000002,0.0
17.26,0.0
17.28,0.0
17.3,0.0
17.32,0.0
17.34,0.0
17.36,0.0
17.38,0.0
17.400000000000002,0.0
17.42,0.0
17.44,0.0
17.46,0.0
17.48,0.0
17.5,0.0
17.52,0.0
17.54,0.0
17.56,0.0
17.580000000000002,0.0
17.6,0.0
17.62,0.0
17.64,0.0
17.66,0.0
17.68,0.0
17.7,0.0
17.72,0.0
17.740000000000002,0.0
17.76,0.0
17.78,0.0
17.8,0.0
17.82,0.0
17.84,0.0
17.86,0.0
17.88,0.0
17.900000000000002,0.0
17.92,0.0
17.94,0.0
17.96,0.0
17.98,0.0
18.0,0.0
18.02,0.0
18.04,0.0
18.06,0.0
18.080000000000002,0.0
18.1,0.0
18.12,0.0
18.14,0.0
18.16,0.0
18.18,0.0
18.2,0.0
18.22,0.0
18.240000000000002,0.0
18.26,0.0
18.28,0.0
18.3,0.0
18.32,0.0
18.34,0.0
18.36,0.0
18.38,0.0
18.400000000000002,0.0
18.42,0.0
18.44,0.0
18.46,0.0
18.48,0.0
18.5,0.0
18.52,0.0
18.54,0.0
18.56,0.0
18.580000000000002,0.0
18.6,0.0
18.62,0.0
18.64,0.0
18.66,0.0
18.68,0.0
18.7,0.0
18.72,0.0
18.740000000000002,0.0
18.76,0.0
18.78,0.0
18.8,0.0
18.82,0.0
18.84,0.0
18.86,0.0
18.88,0.0
18.900000000000002,0.0
18.92,0.0
18.94,0.0
18.96,0.0
18.98,0.0
19.0,0.0
19.02,0.0
19.04,0.0
19.06,0.0
19.080000000000002,0.0
19.1,0.0
19.12,0.0
19.14,0.0
19.16,0.0
19.18,0.0
19.2,0.0
19.22,0.0
19.240000000000002,0.0
19.26,0.0
19.28,0.0
19.3,0.0
19.32,0.0
19.34,0.0
19.36,0.0
19.38,0.0
19.400000000000002,0.0
19.42,0.0
19.44,0.0
19.46,0.0
19.48,0.0
19.5,0.0
19.52,0.0
19.54,0.0
19.56,0.0
19.580000000000002,0.0
19.6,0.0
19.62,0.0
19.64,0.0
19.66,0.0
19.68,0.0
19.7,0.0
19.72,0.0
19.740000000000002,0.0
19.76,0.0
19.78,0.0
19.8,0.0
19.82,0.0
19.84,0.0
19.86,0.0
19.88,0.0
19.900000000000002,0.0
19.92,0.0
19.94,0.0
19.96,0.0
19.98,0.0
20.0,0.0
20.02,0.0
20.04,0.0
20.06,0.0
20.080000000000002,0.0
20.1,0.0
20.12,0.0
20.14,0.0
20.16,0.0
20.18,0.0
20.2,0.0
20.22,0.0
20.240000000000002,0.0
20.26,0.0
20.28,0.0
20.3,0.0
20.32,0.0
20.34,0.0
20.36,0.0
20.38,0.0
20.400000000000002,0.0
20.42,0.0
20.44,0.0
20.46,0.0
20.48,0.0
20.5,0.0
20.52,0.0
20.54,0.0
20.56,0.0
20.580000000000002,0.0
20.6,0.0
20.62,0.0
20.64,0.0
20.66,0.0
20.68,0.0
20.7,0.0
20.72,0.0
20.740000000000002,0.0
20.76,0.0
20.78,0.0
20.8,0.0
20.82,0.0
20.84,0.0
20.86,0.0
20.88,0.0
20.900000000000002,0.0
20.92,0.0
20.94,0.0
20.96,0.0
20.98,0.0
21.0,0.0
21.02,0.0
21.04,0.0
21.06,0.0
21.080000000000002,0.0
21.1,0.0
21.12,0.0
21.14,0.0
21.16,0.0
21.18,0.0
21.2,0.0
21.22,0.0
21.240000000000002,0.0
21.26,0.0
21.28,0.0
21.3,0.0
21.32,0.0
21.34,0.0
21.36,0.0
21.38,0.0
21.400000000000002,0.0
21.42,0.0
21.44,0.0
21.46,0.0
21.48,0.0
21.5,0.0
21.52,0.0
21.54,0.0
21.56,0.0
21.580000000000002,0.0
21.6,0.0
21.62,0.0
21.64,0.0
21.66,0.0
21.68,0.0
21.7,0.0
21.72,0.0
21.740000000000002,0.0
21.76,0.0
21.78,0.0
21.8,0.0
21.82,0.0
21.84,0.0
21.86,0.0
21.88,0.0
21.900000000000002,0.0
21.92,0.0
21.94,0.0
21.96,0.0
21.98,0.0
22.0,0.0
22.02,0.0
22.04,0.0
22.06,0.0
22.080000000000002,0.0
22.1,0.0
22.12,0.0
22.14,0.0
22.16,0.0
22.18,0.0
22.2,0.0
22.22,0.0
22.240000000000002,0.0
22.26,0.0
22.28,0.0
22.3,0.0
22.32,0.0
22.34,0.0
22.36,0.0
22.38,0.0
22.400000000000002,0.0
22.42,0.0
22.44,0.0
22.46,0.0
22.48,0.0
22.5,0.0
22.52,0.0
22.54,0.0
22.56,0.0
22.580000000000002,0.0
22.6,0.0
22.62,0.0
22.64,0.0
22.66,0.0
22.68,0.0
22.7,0.0
22.72,0.0
22.740000000000002,0.0
22.76,0.0
22.78,0.0
22.8,0.0
22.82,0.0
22.84,0.0
22.86,0.0
22.88,0.0
22.900000000000002,0.0
22.92,0.0
22.94,0.0
22.96,0.0
22.98,0.0
23.0,0.0
23.02,0.0
23.04,0.0
23.06,0.0
23.080000000000002,0.0
23.1,0.0
23.12,0.0
23.14,0.0
23.16,0.0
23.18,0.0
23.2,0.0
23.22,0.0
23.240000000000002,0.0
23.26,0.0
23.28,0.0
23.3,0.0
23.32,0.0
23.34,0.0
23.36,0.0
23.38,0.0
23.400000000000002,0.0
23.42,0.0
23.44,0.0
23.46,0.0
23.48,0.0
23.5,0.0
23.52,0.0
23.54,0.0
23.56,0.0
23.580000000000002,0.0
23.6,0.0
23.62,0.0
23.64,0.0
23.66,0.0
23.68,0.0
23.7,0.0
23.72,0.0
23.740000000000002,0.0
23.76,0.0
23.78,0.0
23.8,0.0
23.82,0.0
23.84,0.0
23.86,0.0
23.88,0.0
23.900000000000002,0.0
23.92,0.0
23.94,0.0
23.96,0.0
23.98,0.0
24.0,0.0
24.02,0.0
24.04,0.0
24.060000000000002,0.0
24.080000000000002,0.0
24.1,0.0
24.12,0.0
24.14,0.0
24.16,0.0
24.18,0.0
24.2,0.0
24.22,0.0
24.240000000000002,0.0
24.26,0.0
24.28,0.0
24.3,0.0
24.32,0.0
24.34,0.0
24.36,0.0
24.38,0.0
24.400000000000002,0.0
24.42,0.0
24.44,0.0
24.46,0.0
24.48,0.0
24.5,0.0
24.52,0.0
24.54,0.0
24.560000000000002,0.0
24.580000000000002,0.0
24.6,0.0
24.62,0.0
24.64,0.0
24.66,0.0
24.68,0.0
24.7,0.0
24.72,0.0
24.740000000000002,0.0
24.76,0.0
24.78,0.0
24.8,0.0
24.82,0.0
24.84,0.0
24.86,0.0
24.88,0.0
24.900000000000002,0.0
24.92,0.0
24.94,0.0
24.96,0.0
24.98,0.0
25.0,0.0
25.02,0.0
25.04,0.0
25.060000000000002,0.0
25.080000000000002,0.0
25.1,0.0
25.12,0.0
25.14,0.0
25.16,0.0
25.18,0.0
25.2,0.0
25.22,0.0
25.240000000000002,0.0
25.26,0.0
25.28,0.0
25.3,0.0
25.32,0.0
25.34,0.0
25.36,0.0
25.38,0.0
25.400000000000002,0.0
25.42,0.0
25.44,0.0
25.46,0.0
25.48,0.0
25.5,0.0
25.52,0.0
25.54,0.0
25.560000000000002,0.0
25.580000000000002,0.0
25.6,0.0
25.62,0.0
25.64,0.0
25.66,0.0
25.68,0.0
25.7,0.0
25.72,0.0
25.740000000000002,0.0
25.76,0.0
25.78,0.0
25.8,0.0
25.82,0.0
25.84,0.0
25.86,0.0
25.88,0.0
25.900000000000002,0.0
25.92,0.0
25.94,0.0
25.96,0.0
25.98,0.0
26.0,0.0
26.02,0.0
26.04,0.0
26.060000000000002,0.0
26.080000000000002,0.0
26.1,0.0
26.12,0.0
26.14,0.0
26.16,0.0
26.18,0.0
26.2,0.0
26.22,0.0
26.240000000000002,0.0
26.26,0.0
26.28,0.0
26.3,0.0
26.32,0.0
26.34,0.0
26.36,0.0
26.38,0.0
26.400000000000002,0.0
26.42,0.0
26.44,0.0
26.46,0.0
26.48,0.0
26.5,0.0
26.52,0.0
26.54,0.0
26.560000000000002,0.0
26.580000000000002,0.0
26.6,0.0
26.62,0.0
26.64,0.0
26.66,0.0
26.68,0.0
26.7,0.0
26.72,0.0
26.740000000000002,0.0
26.76,0.0
26.78,0.0
26.8,0.0
26.82,0.0
26.84,0.0
26.86,0.0
26.88,0.0
26.900000000000002,0.0
26.92,0.0
26.94,0.0
26.96,0.0
26.98,0.0
27.0,0.0
27.02,0.0
27.04,0.0
27.060000000000002,0.0
27.080000000000002,0.0
27.1,0.0
27.12,0.0
27.14,0.0
27.16,0.0
27.18,0.0
27.2,0.0
27.22,0.0
27.240000000000002,0.0
27.26,0.0
27.28,0.0
27.3,0.0
27.32,0.0
27.34,0.0
27.36,0.0
27.38,0.0
27.400000000000002,0.0
27.42,0.0
27.44,0.0
27.46,0.0
27.48,0.0
27.5,0.0
27.52,0.0
27.54,0.0
27.560000000000002,0.0
27.580000000000002,0.0
27.6,0.0
27.62,0.0
27.64,0.0
27.66,0.0
27.68,0.0
27.7,0.0
27.72,0.0
27.740000000000002,0.0
27.76,0.0
27.78,0.0
27.8,0.0
27.82,0.0
27.84,0.0
27.86,0.0
27.88,0.0
27.900000000000002,0.0
27.92,0.0
27.94,0.0
27.96,0.0
27.98,0.0
28.0,0.0
28.02,0.0
28.04,0.0
28.060000000000002,0.0
28.080000000000002,0.0
28.1,0.0
28.12,0.0
28.14,0.0
28.16,0.0
28.18,0.0
28.2,0.0
28.22,0.0
28.240000000000002,0.0
28.26,0.0
28.28,0.0
28.3,0.0
28.32,0.0
28.34,0.0
28.36,0.0
28.38,0.0
28.400000000000002,0.0
28.42,0.0
28.44,0.0
28.46,0.0
28.48,0.0
28.5,0.0
28.52,0.0
28.54,0.0
28.560000000000002,0.0
28.580000000000002,0.0
28.6,0.0
28.62,0.0
28.64,0.0
28.66,0.0
28.68,0.0
28.7,0.0
28.72,0.0
28.740000000000002,0.0
28.76,0.0
28.78,0.0
28.8,0.0
28.82,0.0
28.84,0.0
28.86,0.0
28.88,0.0
28.900000000000002,0.0
28.92,0.0
28.94,0.0
28.96,0.0
28.98,0.0
29.0,0.0
29.02,0.0
29.04,0.0
29.060000000000002,0.0
29.080000000000002,0.0
29.1,0.0
29.12,0.0
29.14,0.0
29.16,0.0
29.18,0.0
29.2,0.0
29.22,0.0
29.240000000000002,0.0
29.26,0.0
29.28,0.0
29.3,0.0
29.32,0.0
29.34,0.0
29.36,0.0
29.38,0.0
29.400000000000002,0.0
29.42,0.0
